days	S_Mean	E_Mean	IP_Mean	IA_Mean	TotalInfectious	H_Mean	ICU_Mean	Recovered_Mean	DeadCovid_Mean
0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0.999996	0.000002	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2	0.999994	0.000003	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3	0.999992	0.000005	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
4	0.999991	0.000006	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5	0.999989	0.000007	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6	0.999988	0.000008	0.000002	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000
7	0.999986	0.000010	0.000002	0.000000	0.000001	0.000000	0.000000	0.000001	0.000000
8	0.999985	0.000010	0.000002	0.000000	0.000001	0.000000	0.000000	0.000001	0.000000
9	0.999983	0.000012	0.000002	0.000000	0.000001	0.000000	0.000000	0.000002	0.000000
10	0.999981	0.000013	0.000003	0.000000	0.000001	0.000000	0.000000	0.000002	0.000000
11	0.999979	0.000014	0.000003	0.000000	0.000001	0.000000	0.000000	0.000002	0.000000
12	0.999978	0.000015	0.000002	0.000000	0.000001	0.000001	0.000000	0.000003	0.000000
13	0.999976	0.000016	0.000003	0.000000	0.000001	0.000001	0.000000	0.000003	0.000000
14	0.999974	0.000017	0.000003	0.000000	0.000001	0.000001	0.000000	0.000004	0.000000
15	0.999972	0.000018	0.000003	0.000000	0.000001	0.000001	0.000000	0.000005	0.000000
16	0.999969	0.000020	0.000003	0.000001	0.000001	0.000001	0.000000	0.000006	0.000000
17	0.999967	0.000021	0.000003	0.000000	0.000001	0.000001	0.000000	0.000006	0.000000
18	0.999964	0.000022	0.000003	0.000001	0.000001	0.000001	0.000000	0.000007	0.000000
19	0.999961	0.000024	0.000003	0.000001	0.000002	0.000001	0.000000	0.000008	0.000000
20	0.999958	0.000025	0.000004	0.000001	0.000002	0.000001	0.000000	0.000009	0.000000
21	0.999955	0.000027	0.000004	0.000001	0.000002	0.000001	0.000000	0.000010	0.000000
22	0.999953	0.000028	0.000004	0.000001	0.000002	0.000001	0.000000	0.000011	0.000000
23	0.999950	0.000030	0.000004	0.000001	0.000002	0.000002	0.000000	0.000013	0.000000
24	0.999946	0.000031	0.000004	0.000001	0.000002	0.000002	0.000000	0.000014	0.000000
25	0.999943	0.000033	0.000004	0.000001	0.000002	0.000002	0.000000	0.000015	0.000000
26	0.999939	0.000035	0.000005	0.000001	0.000002	0.000002	0.000000	0.000017	0.000000
27	0.999935	0.000036	0.000005	0.000001	0.000002	0.000002	0.000000	0.000018	0.000000
28	0.999930	0.000038	0.000005	0.000001	0.000002	0.000002	0.000000	0.000020	0.000000
29	0.999926	0.000041	0.000006	0.000001	0.000002	0.000002	0.000000	0.000022	0.000000
30	0.999921	0.000043	0.000006	0.000001	0.000002	0.000002	0.000000	0.000024	0.000000
31	0.999915	0.000046	0.000006	0.000001	0.000003	0.000003	0.000000	0.000026	0.000000
32	0.999910	0.000048	0.000007	0.000001	0.000003	0.000003	0.000000	0.000028	0.000000
33	0.999904	0.000051	0.000007	0.000001	0.000003	0.000003	0.000000	0.000030	0.000000
34	0.999898	0.000054	0.000008	0.000001	0.000003	0.000003	0.000000	0.000033	0.000000
35	0.999891	0.000057	0.000008	0.000002	0.000003	0.000003	0.000000	0.000036	0.000000
36	0.999884	0.000060	0.000009	0.000002	0.000003	0.000003	0.000000	0.000038	0.000000
37	0.999876	0.000064	0.000009	0.000002	0.000003	0.000004	0.000000	0.000041	0.000000
38	0.999868	0.000068	0.000010	0.000002	0.000004	0.000004	0.000000	0.000044	0.000000
39	0.999860	0.000072	0.000010	0.000002	0.000004	0.000004	0.000000	0.000047	0.000000
40	0.999852	0.000076	0.000011	0.000002	0.000004	0.000004	0.000000	0.000051	0.000000
41	0.999843	0.000080	0.000012	0.000002	0.000005	0.000004	0.000000	0.000054	0.000000
42	0.999832	0.000085	0.000013	0.000002	0.000005	0.000005	0.000000	0.000058	0.000000
43	0.999821	0.000091	0.000013	0.000003	0.000005	0.000005	0.000000	0.000062	0.000000
44	0.999810	0.000097	0.000013	0.000003	0.000005	0.000005	0.000000	0.000066	0.000000
45	0.999799	0.000102	0.000014	0.000003	0.000006	0.000005	0.000000	0.000071	0.000000
46	0.999786	0.000109	0.000014	0.000003	0.000006	0.000006	0.000000	0.000076	0.000000
47	0.999773	0.000116	0.000016	0.000003	0.000006	0.000006	0.000000	0.000081	0.000000
48	0.999760	0.000121	0.000017	0.000004	0.000007	0.000006	0.000000	0.000085	0.000000
49	0.999745	0.000129	0.000017	0.000004	0.000007	0.000007	0.000000	0.000091	0.000000
50	0.999731	0.000135	0.000018	0.000004	0.000007	0.000007	0.000000	0.000097	0.000000
51	0.999715	0.000143	0.000019	0.000004	0.000008	0.000008	0.000000	0.000103	0.000000
52	0.999698	0.000151	0.000021	0.000004	0.000008	0.000008	0.000000	0.000109	0.000000
53	0.999680	0.000160	0.000022	0.000004	0.000009	0.000008	0.000000	0.000116	0.000000
54	0.999660	0.000170	0.000023	0.000005	0.000009	0.000009	0.000000	0.000124	0.000000
55	0.999640	0.000179	0.000025	0.000005	0.000010	0.000010	0.000000	0.000132	0.000000
56	0.999618	0.000190	0.000026	0.000005	0.000011	0.000010	0.000001	0.000140	0.000000
57	0.999596	0.000200	0.000027	0.000006	0.000011	0.000011	0.000000	0.000149	0.000000
58	0.999572	0.000211	0.000028	0.000006	0.000012	0.000011	0.000001	0.000158	0.000000
59	0.999546	0.000224	0.000030	0.000006	0.000013	0.000012	0.000001	0.000169	0.000000
60	0.999519	0.000237	0.000032	0.000006	0.000014	0.000012	0.000001	0.000179	0.000001
61	0.999492	0.000250	0.000034	0.000007	0.000015	0.000013	0.000001	0.000190	0.000001
62	0.999461	0.000265	0.000036	0.000007	0.000015	0.000014	0.000001	0.000201	0.000001
63	0.999431	0.000280	0.000037	0.000007	0.000016	0.000015	0.000001	0.000213	0.000001
64	0.999398	0.000294	0.000041	0.000008	0.000017	0.000016	0.000001	0.000226	0.000001
65	0.999362	0.000310	0.000044	0.000009	0.000018	0.000017	0.000001	0.000240	0.000001
66	0.999324	0.000328	0.000046	0.000009	0.000019	0.000018	0.000001	0.000254	0.000001
67	0.999285	0.000347	0.000049	0.000009	0.000020	0.000019	0.000001	0.000270	0.000001
68	0.999242	0.000367	0.000051	0.000010	0.000021	0.000021	0.000001	0.000286	0.000001
69	0.999198	0.000388	0.000055	0.000010	0.000022	0.000022	0.000001	0.000304	0.000001
70	0.999151	0.000411	0.000057	0.000011	0.000023	0.000023	0.000001	0.000322	0.000001
